"emp_no","last_name","first_name","dept_no"
10001,"Facello","Georgi","d005"
10002,"Simmel","Bezalel","d007"
10006,"Preusig","Anneke","d005"
10008,"Kalloufi","Saniya","d005"
10012,"Bridgland","Patricio","d005"
10014,"Genin","Berni","d005"
10016,"Cappelletti","Kazuhito","d007"
10018,"Peha","Kazuhide","d005"
10021,"Erde","Ramzi","d005"
10022,"Famili","Shahaf","d005"
10023,"Montemayor","Bojan","d005"
10025,"Heyers","Prasadram","d005"
10027,"Reistad","Divier","d005"
10028,"Tempesti","Domenick","d005"
10031,"Joslin","Karsten","d005"
10034,"Swan","Bader","d007"
10037,"Makrucki","Pradeep","d005"
10040,"Meriste","Weiyi","d005"
10041,"Lenart","Uri","d007"
10043,"Tzvieli","Yishay","d005"
