"emp_no","emp_title_id","birth_date","first_name","last_name","sex","hire_date"
10001,"e0003","1953-09-02","Georgi","Facello","M","1986-06-26"
10003,"e0003","1959-12-03","Parto","Bamford","M","1986-08-28"
10004,"e0003","1954-05-01","Chirstian","Koblick","M","1986-12-01"
10053,"s0002","1954-09-13","Sanjiv","Zschoche","F","1986-02-04"
10066,"e0003","1952-11-13","Kwee","Schusler","M","1986-02-26"
10079,"e0004","1961-10-05","Kshitij","Gils","F","1986-03-27"
10081,"e0003","1960-12-17","Zhongwei","Rosen","M","1986-10-30"
10087,"s0001","1959-07-23","Xinglin","Eugenio","F","1986-09-08"
10089,"s0001","1963-03-21","Sudharsan","Flasterstein","F","1986-08-12"
10090,"e0003","1961-05-30","Kendra","Hofting","M","1986-03-14"
10095,"s0001","1965-01-03","Hilari","Morton","M","1986-07-15"
10103,"e0002","1953-11-26","Akemi","Birch","M","1986-12-02"
10108,"s0001","1952-04-07","Lunjin","Giveon","M","1986-10-02"
10110,"s0001","1957-03-07","Xuejia","Ullian","F","1986-08-22"
10115,"s0001","1964-12-25","Chikara","Rissland","M","1986-01-23"
10119,"e0002","1960-12-01","Domenick","Peltason","M","1986-03-14"
10136,"s0001","1961-09-14","Zissis","Pintelas","M","1986-02-11"
10138,"e0003","1955-04-24","Perry","Shimshoni","M","1986-09-18"
10147,"s0001","1964-10-13","Kazuhito","Encarnacion","M","1986-08-21"
10149,"s0001","1953-05-20","Xiadong","Perry","F","1986-11-05"
